Fresh Leaf Yield Contraction,Dry Leaf Yield Contraction,Fresh Beet Yield Contraction,Dry Beet Yield Contraction,Box
19.7189234735606,-4.07110937045186,39.4285904682064,7.5325410168951,1
-87.4810765264394,2.97889062954813,8.74859046820643,4.4025410168951,2
63.9189234735606,0.978890629548132,-52.6214095317935,-14.0974589831048,3
-104.981076526439,-23.0311093704518,-73.6214095317935,-23.0074589831049,4
229.71892347356,4.19889062954813,48.9585904682064,-12.9274589831048,5
11.4189234735606,-8.99110937045186,51.3285904682064,3.2825410168951,6
54.0189234735605,14.6788906295481,-52.1814095317936,-3.09745898310489,7
119.51892347356,5.59889062954813,44.7685904682064,9.0025410168951,8
-72.4810765264394,-72.6911093704518,-62.7914095317935,-24.4474589831049,9
261.01892347356,19.0988906295481,96.7585904682064,7.1625410168951,10
78.9189234735606,-16.7911093704518,-4.37140953179357,-8.07745898310489,11
116.41892347356,3.09889062954813,42.9185904682063,-4.51745898310489,12
1033.74892347356,64.2988906295481,330.638590468206,39.8025410168951,13
907.16892347356,58.9788906295481,301.408590468206,37.0225410168951,14
1086.57892347356,65.0588906295481,324.128590468206,36.6625410168951,15
1282.87892347356,87.6488906295481,399.208590468206,50.3525410168951,16
1307.66892347356,91.1588906295481,401.108590468206,50.3825410168951,17
1296.47892347356,87.5988906295481,395.158590468206,49.0625410168951,18
1058.79892347356,62.4388906295481,167.038590468206,2.7725410168951,19
1004.55892347356,52.0288906295481,33.0585904682064,-32.6074589831049,20
963.94892347356,58.5388906295481,125.968590468206,-5.4474589831049,21
1028.50892347356,51.9788906295481,59.4385904682064,-29.3074589831049,22
1089.12892347356,59.9688906295481,143.548590468206,-14.0274589831049,23
1018.34892347356,50.5688906295481,119.558590468206,-15.8674589831049,24
1210.27892347356,73.8488906295481,342.198590468206,35.6625410168951,25
1202.23892347356,73.9888906295481,345.398590468206,37.1925410168951,26
1234.38892347356,75.6788906295481,314.928590468206,29.4725410168951,27
