"name","area pred","max exg  pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr ped","mean exgr pred","min exgr pred","Gen ","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0044_frame0001_R128x128.png","4191","159","27.088134765625","-84","84","12.214721679688","0","159","14.873413085938","-157","44","1","","4191","159","27.088134765625","-84","84","12.214721679688","0","159","14.873413085938","-157"
"video0044_frame0002_R128x128.png","3907","162","24.915832519531","-72","90","15.668212890625","0","162","9.2476196289062","-162","44","2","","3907","162","24.915832519531","-72","90","15.668212890625","0","162","9.2476196289062","-162"
"video0044_frame0003_R128x128.png","5424","149","35.138488769531","-61","83","13.378845214844","0","149","21.759643554688","-134","44","3","","5424","149","35.138488769531","-61","83","13.378845214844","0","149","21.759643554688","-134"
"video0044_frame0004_R128x128.png","4423","155","29.555053710938","-75","85","13.725402832031","0","155","15.829650878906","-146","44","4","","4423","155","29.555053710938","-75","85","13.725402832031","0","155","15.829650878906","-146"
"video0044_frame0005_R128x128.png","6491","158","42.952087402344","-58","81","12.059692382812","0","158","30.892395019531","-129","44","5","","6491","158","42.952087402344","-58","81","12.059692382812","0","158","30.892395019531","-129"
"video0044_frame0006_R128x128.png","2540","172","16.263854980469","-66","79","14.151000976562","0","172","2.1128540039062","-113","44","6","","2540","172","16.263854980469","-66","79","14.151000976562","0","172","2.1128540039062","-113"
"video0044_frame0007_R128x128.png","5129","174","34.5869140625","-69","95","14.442626953125","0","174","20.144287109375","-136","44","7","","5527","184","38.715515136719","-89","81","15.095764160156","0","184","23.619750976562","-149"
"video0044_frame0008_R128x128.png","4541","162","28.432312011719","-78","80","14.458312988281","0","162","13.973999023438","-152","44","8","","4770","191","36.174377441406","-71","81","13.800537109375","0","191","22.373840332031","-139"
"video0044_frame0009_R128x128.png","3234","155","18.852233886719","-64","84","16.029724121094","0","155","2.822509765625","-126","44","9","","3498","177","24.692016601562","-76","82","16.196350097656","0","177","8.4956665039062","-142"
"video0044_frame0010_R128x128.png","4233","148","24.727172851562","-53","86","13.123352050781","0","148","11.603820800781","-124","44","10","","4928","149","28.403137207031","-82","81","15.01611328125","0","149","13.387023925781","-147"
"video0044_frame0011_R128x128.png","4607","152","26.162475585938","-104","84","12.511901855469","0","152","13.650573730469","-188","44","11","","4734","178","29.181518554688","-73","88","14.52978515625","0","178","14.651733398438","-137"
