"name","area pred","max exg  pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr ped","mean exgr pred","min exgr pred","Gen ","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0018_frame0001_R128x128.png","678","146","2.0912475585938","-78","83","14.980590820312","0","146","-12.889343261719","-142","18","1","","678","146","2.0912475585938","-78","83","14.980590820312","0","146","-12.889343261719","-142"
"video0018_frame0002_R128x128.png","351","136","-1.1860961914062","-63","84","15.163635253906","0","136","-16.349731445312","-141","18","2","","351","136","-1.1860961914062","-63","84","15.163635253906","0","136","-16.349731445312","-141"
"video0018_frame0003_R128x128.png","858","149","-0.8758544921875","-90","82","16.193664550781","0","149","-17.069519042969","-148","18","3","","858","149","-0.8758544921875","-90","82","16.193664550781","0","149","-17.069519042969","-148"
"video0018_frame0004_R128x128.png","531","149","-0.66424560546875","-74","84","14.510803222656","0","149","-15.175048828125","-140","18","4","","531","149","-0.66424560546875","-74","84","14.510803222656","0","149","-15.175048828125","-140"
"video0018_frame0005_R128x128.png","641","160","1.8965454101562","-65","88","15.4375","0","160","-13.540954589844","-142","18","5","","641","160","1.8965454101562","-65","88","15.4375","0","160","-13.540954589844","-142"
"video0018_frame0006_R128x128.png","458","152","-0.0069580078125","-73","92","14.601257324219","0","152","-14.608215332031","-156","18","6","","458","152","-0.0069580078125","-73","92","14.601257324219","0","152","-14.608215332031","-156"
"video0018_frame0007_R128x128.png","697","154","-1.1748657226562","-75","96","18.378723144531","0","154","-19.553588867188","-139","18","7","","434","154","-2.8953857421875","-76","81","14.592468261719","0","154","-17.487854003906","-139"
"video0018_frame0008_R128x128.png","821","140","-0.99554443359375","-75","80","16.173828125","0","140","-17.169372558594","-120","18","8","","680","144","0.95849609375","-72","77","16.457153320312","0","144","-15.498657226562","-128"
"video0018_frame0009_R128x128.png","613","156","-0.87322998046875","-59","77","16.930480957031","0","156","-17.8037109375","-128","18","9","","525","154","1.0054321289062","-77","88","15.450256347656","0","154","-14.44482421875","-154"
"video0018_frame0010_R128x128.png","902","149","0.85498046875","-68","84","16.399475097656","0","149","-15.544494628906","-131","18","10","","824","155","3.0809326171875","-71","88","13.987121582031","0","155","-10.906188964844","-148"
"video0018_frame0011_R128x128.png","663","149","-2.5901489257812","-97","82","18.896057128906","0","149","-21.486206054688","-173","18","11","","291","140","-5.5786743164062","-75","80","18.249450683594","0","140","-23.828125","-142"
"video0018_frame0012_R128x128.png","507","148","-3.5306396484375","-79","92","22.751953125","0","148","-26.282592773438","-150","18","12","","655","173","0.5616455078125","-102","78","17.8955078125","0","173","-17.333862304688","-156"
"video0019_frame0001_R128x128.png","601","158","1.2533569335938","-88","80","20.514709472656","0","158","-19.261352539062","-151","19","1","","601","158","1.2533569335938","-88","80","20.514709472656","0","158","-19.261352539062","-151"
"video0019_frame0002_R128x128.png","412","157","-1.5170288085938","-88","76","15.433898925781","0","157","-16.950927734375","-156","19","2","","412","157","-1.5170288085938","-88","76","15.433898925781","0","157","-16.950927734375","-156"
"video0019_frame0003_R128x128.png","551","174","-5.1367797851562","-100","84","20.524047851562","0","174","-25.660827636719","-164","19","3","","551","174","-5.1367797851562","-100","84","20.524047851562","0","174","-25.660827636719","-164"
"video0019_frame0004_R128x128.png","579","137","-1.0314331054688","-84","87","19.488952636719","0","137","-20.520385742188","-138","19","4","","579","137","-1.0314331054688","-84","87","19.488952636719","0","137","-20.520385742188","-138"
"video0019_frame0005_R128x128.png","956","162","3.0861206054688","-80","87","16.65625","0","162","-13.570129394531","-148","19","5","","956","162","3.0861206054688","-80","87","16.65625","0","162","-13.570129394531","-148"
"video0019_frame0006_R128x128.png","543","146","-1.6920776367188","-92","83","17.115905761719","0","146","-18.807983398438","-157","19","6","","543","146","-1.6920776367188","-92","83","17.115905761719","0","146","-18.807983398438","-157"
"video0019_frame0007_R128x128.png","557","151","0.1531982421875","-59","94","18.0693359375","0","151","-17.916137695312","-131","19","7","","490","135","-6.1477661132812","-96","90","21.992553710938","0","135","-28.140319824219","-158"
"video0019_frame0008_R128x128.png","947","134","-0.23260498046875","-75","95","19.046142578125","0","134","-19.278747558594","-157","19","8","","771","150","1.052001953125","-75","81","16.321044921875","0","150","-15.26904296875","-134"
"video0019_frame0009_R128x128.png","846","130","-1.4393310546875","-76","82","18.612915039062","0","130","-20.05224609375","-149","19","9","","821","152","3.143798828125","-76","85","14.58349609375","0","152","-11.439697265625","-139"
"video0019_frame0010_R128x128.png","572","144","-1.852294921875","-66","110","17.351013183594","0","144","-19.203308105469","-167","19","10","","438","143","0.0748291015625","-76","91","17.054748535156","0","143","-16.979919433594","-161"
"video0019_frame0011_R128x128.png","1022","131","-0.0589599609375","-75","81","19.7431640625","0","131","-19.802124023438","-132","19","11","","1043","154","0.83978271484375","-85","82","15.653442382812","0","154","-14.813659667969","-146"
"video0019_frame0012_R128x128.png","824","158","-1.7579345703125","-80","96","19.464782714844","0","158","-21.222717285156","-166","19","12","","649","144","0.2574462890625","-74","85","16.698852539062","0","144","-16.44140625","-138"
"video0020_frame0001_R128x128.png","771","158","3.3082885742188","-71","91","16.150085449219","0","158","-12.841796875","-154","20","1","","771","158","3.3082885742188","-71","91","16.150085449219","0","158","-12.841796875","-154"
"video0020_frame0002_R128x128.png","568","148","0.96624755859375","-81","100","15.537902832031","0","148","-14.571655273438","-181","20","2","","568","148","0.96624755859375","-81","100","15.537902832031","0","148","-14.571655273438","-181"
"video0020_frame0003_R128x128.png","542","147","-1.9114990234375","-74","79","14.789916992188","0","147","-16.701416015625","-149","20","3","","542","147","-1.9114990234375","-74","79","14.789916992188","0","147","-16.701416015625","-149"
"video0020_frame0004_R128x128.png","844","155","2.4151000976562","-90","79","14.179992675781","0","155","-11.764892578125","-161","20","4","","844","155","2.4151000976562","-90","79","14.179992675781","0","155","-11.764892578125","-161"
"video0020_frame0005_R128x128.png","699","140","2.07958984375","-67","90","19.711364746094","0","140","-17.631774902344","-133","20","5","","699","140","2.07958984375","-67","90","19.711364746094","0","140","-17.631774902344","-133"
"video0020_frame0006_R128x128.png","995","160","4.6314697265625","-76","90","15.057678222656","0","160","-10.426208496094","-138","20","6","","995","160","4.6314697265625","-76","90","15.057678222656","0","160","-10.426208496094","-138"
"video0020_frame0007_R128x128.png","441","148","-1.7490234375","-71","100","14.770324707031","0","148","-16.519348144531","-142","20","7","","256","145","-5.4435424804688","-90","81","16.661193847656","0","145","-22.104736328125","-163"
"video0020_frame0008_R128x128.png","747","166","-1.5740356445312","-69","83","18.262084960938","0","166","-19.836120605469","-135","20","8","","824","165","2.0499267578125","-93","78","23.000061035156","0","165","-20.950134277344","-155"
"video0020_frame0009_R128x128.png","740","157","1.5429077148438","-65","94","24.38671875","0","157","-22.843811035156","-127","20","9","","732","170","2.5001831054688","-73","80","20.313598632812","0","170","-17.813415527344","-133"
